"__uid","__parent_uid","language_code","language_name","language_alternateNames","language_dialects","language_status","language_notes","__display_name","language_code2","language_printName","__record_type","language_openTypeTags","language_sortName","language_retired","language_inEthnologue","language_subjectTabFlags","language_localNames"
"c344a8c899","","sop","Songe","Kalebwe, Kisonge, Kisongi, Kisongye, Luba-Songi, Lusonge, Northeast Luba, Songye, Yembe","","L","","Songe [sop]","","Songe","micro","","Songe","","1","67",""
"3g95efe8ga","","soq","Kanasi","Sona","","L","","Kanasi [soq]","","Kanasi","micro","","Kanasi","","1","83","Kanasi"
"9eec243bha","","sor","Soumraye","Chibne, Chibné, Shibne, Sibine, Somrai, Somray, Somre, Somrei, Soumrai, Soumray, Sounrai, Sumrai","","L","","Soumraye [sor]","","Soumraye","micro","","Soumraye","","1","83",""
"6fb7dh6c8g","","sos","Seeku","Sambla, Samogho, Seenku, Sembla, Southern Samo","","L","","Seeku [sos]","","Seeku","micro","","Seeku","","1","67",""
"a62g2d7d2c","","sot","Southern Sotho","","","L","","Southern Sotho [sot]","st","Southern Sotho","micro","SOT","Southern Sotho","","1","83","Sesotho"
"72f259g4ef","","sou","Thai, Southern","Dambro, Pak Tai, Pak Thai, Paktay, Southern Thai","","L","","Thai, Southern [sou]","","Southern Thai","micro","","Thai, Southern","","1","83","ภาษาไทยถิ่นใต้"
"ceh8325684","","sov","Sonsorolese","Sonsorol, Sonsorol-Tobi","","L","","Sonsorolese [sov]","","Sonsorolese","micro","","Sonsorolese","","1","67",""
"dcdd78heh7","","sow","Sowanda","Waina, Waina-Sowanda, Wanja, Wanya, Wina","","L","","Sowanda [sow]","","Sowanda","micro","","Sowanda","","1","67",""
"a43d2h5g9a","","sox","Swo","Fo, Shwo, Sso, Sô","","L","","Swo [sox]","","Swo","micro","","Swo","","1","83",""
"d6ba2d29f3","","soy","Miyobe","Bijobe, Biyobe, Kayobe, Kuyobe, Kyobe, Meyobe, Mɛyɔ́pɛ, Sola, Solamba, Solla, Sorouba, Soruba, Uyobe","","L","","Miyobe [soy]","","Miyobe","micro","","Miyobe","","1","67","Mɛyɔ́pɛ"
"hf9h5aff78","","soz","Temi","Batem, GiTemi, Kisonjo, Kitemi, Sonjo, Sonyo, Wasonjo, Watemi","","L","","Temi [soz]","","Temi","micro","","Temi","","1","83","GiTemi"
"35bh2dch9c","","spa","Spanish","Castilian","","L","","Spanish [spa]","es","Spanish","micro","ESP","Spanish","","1","115","Castellano, Español"
"628e5ef856","","spb","Sepa","Sepa (Indonesia), Tamilouw","","L","","Sepa [spb]","","Sepa","micro","","Sepa","","1","67",""
"92dfc76bd3","","spc","Sapé","Caliana, Chirichano, Kaliána, Kariana","","L","","Sapé [spc]","","Sapé","micro","","SapE","","1","67",""
"g73d5fcc8h","","spd","Saep","","","L","","Saep [spd]","","Saep","micro","","Saep","","1","67",""
"8aa9885fh9","","spe","Sepa","Sepa (Papua New Guinea)","","L","","Sepa [spe]","","Sepa","micro","","Sepa","","1","67",""
"a889784853","","spg","Sihan","Sian","","L","","Sihan [spg]","","Sihan","micro","","Sihan","","1","67",""
"79g3f8g4gc","","spi","Saponi","","","L","","Saponi [spi]","","Saponi","micro","","Saponi","","1","67",""
"bbg893gf23","","spk","Sengo","","","L","","Sengo [spk]","","Sengo","micro","","Sengo","","1","67",""
"5ab3924fb9","","spl","Selepet","Selepe","","L","","Selepet [spl]","","Selepet","micro","","Selepet","","1","87","Selepet"
"g6bb96de5h","","spm","Akukem","Akɨghɨm, Sepen","","L","","Akukem [spm]","","Akukem","micro","","Akukem","","1","83","Akɨghɨm"
"2gg7ecg5b3","","spo","Spokane","Spokan","","L","","Spokane [spo]","","Spokane","micro","","Spokane","","1","67",""
"7h2b7d8b4a","","spp","Sénoufo, Supyire","Suppire, Supyire, Supyire Senoufo, Sup’ide","","L","","Sénoufo, Supyire [spp]","","Supyire Sénoufo","micro","","SEnoufo, Supyire","","1","87","Supyire"
"cb8gf663a5","","spq","Spanish, Charapa","Amazonic Spanish, Castellano Sharapa, Jungle Spanish, Loreto-Ucayali Spanish","","L","","Spanish, Charapa [spq]","","Charapa Spanish","micro","","Spanish, Charapa","","1","83",""
"d7d7fd3db5","","spr","Saparua","","","L","","Saparua [spr]","","Saparua","micro","","Saparua","","1","67",""
"36gfc3698c","","sps","Saposa","Faa Saposa","","L","","Saposa [sps]","","Saposa","micro","","Saposa","","1","83","Faa Saposa"
"c5cf586g7c","","spt","Spiti Bhoti","Nyam, Piti Bhoti","","L","","Spiti Bhoti [spt]","","Spiti Bhoti","micro","","Spiti Bhoti","","1","67",""
"cd7c3g955d","","spu","Sapuan","Sapouan","","L","","Sapuan [spu]","","Sapuan","micro","","Sapuan","","1","67",""
"c63a324a6e","","spy","Sabaot","Sābāwōōt, Sebei (""Mount Elgon Maasai"")","Bong’omeek, Book, Koony, Mosoop, Sabiiny, Soomeek (Bok, Bong’om, Kony, Pok, Pong’om)","L","","Sabaot [spy]","","Sabaot","micro","","Sabaot","","1","80",""
"5986dhch55","","sqa","Shama-Sambuga","Tushama, Ushama","","L","","Shama-Sambuga [sqa]","","Shama-Sambuga","micro","","Shama-Sambuga","","1","67",""
"h92ea29g88","","sqh","Shau","Lìsháù, Sho","","L","","Shau [sqh]","","Shau","micro","","Shau","","1","67",""
"5dfe9899g5","","sqm","Suma","Souma","","L","","Suma [sqm]","","Suma","micro","","Suma","","1","67",""
"f695g9gcd8","","sqo","Sorkhei","","","L","","Sorkhei [sqo]","","Sorkhei","micro","","Sorkhei","","1","67",""
"3f6e287b6h","","sqq","Sou","Sawk, Souk, Su, Suq, Su’","","L","","Sou [sqq]","","Sou","micro","","Sou","","1","67",""
"cf67hh6df4","","sqs","Sri Lankan Sign Language","","","L","","Sri Lankan Sign Language [sqs]","","Sri Lankan Sign Language","micro","","Sri Lankan Sign Language","","1","67",""
"87e5hc9a2h","","sqt","Soqotri","Saqatri, Socotri, Sokotri, South Arabian, Suqutri, méthel d-saqátri","","L","","Soqotri [sqt]","","Soqotri","micro","","Soqotri","","1","83","méthel d-saqátri"
"276baacfgc","","squ","Squamish","Skwxwu’mesh snichim","","L","","Squamish [squ]","","Squamish","micro","","Squamish","","1","83",""
"ch8ehege42","","sra","Saruga","","","L","","Saruga [sra]","","Saruga","micro","","Saruga","","1","67",""
"8ch3e42fc9","","srb","Sora","Sabar, Sabara, Saonras, Saora, Saura, Savara, Sawaria, Shabari, Soura, Swara","","L","","Sora [srb]","","Sora","micro","","Sora","","1","83",""
"ea7ff55827","","src","Sardinian, Logudorese","Central Sardinian, Logudorese, Sard, Sardarese","Barbaricino, Northern Logudorese, Nuorese, Southwestern Logudorese","L","","Sardinian, Logudorese [src]","","Logudorese Sardinian","micro","","Sardinian, Logudorese","","1","80",""
"43ebbh8677","","sre","Bakati’, Sara","Riok, Sara","","L","","Bakati’, Sara [sre]","","Sara Bakati’","micro","","Bakati’, Sara","","1","67",""
"66635953cb","","srf","Nafi","Sirak","","L","","Nafi [srf]","","Nafi","micro","","Nafi","","1","67",""
"6be9echc78","","srg","Sulod","Bukidnon, Mondo","","L","","Sulod [srg]","","Sulod","micro","","Sulod","","1","67",""
"ahag55hd65","","srh","Sarikoli","Salikur, Saliku’er, Sarikuli, Sariqul, Sarykoly, Tadzik, Tajik, Tajiki","","L","","Sarikoli [srh]","","Sarikoli","micro","","Sarikoli","","1","67",""
"hebh775748","","sri","Siriano","Chiranga, Cirnga, Desana-Siriana, Sarirá, Si-Ra, Siria-Masã, Siriana, Siriane, Sura Masa, Surianá, Surirá, Suryana","","L","","Siriano [sri]","","Siriano","micro","","Siriano","","1","83",""
"ab7f6h52a8","","srk","Murut, Serudung","Serudong, Serudung Murut, Suudung, Tawau Murut, Tawou Murut","","L","","Murut, Serudung [srk]","","Serudung Murut","micro","","Murut, Serudung","","1","67",""
"22db8c49a4","","srl","Isirawa","Okwasar, Saberi, Saweri","","L","","Isirawa [srl]","","Isirawa","micro","","Isirawa","","1","67",""
"d8dhe4g6cc","","srm","Saramaccan","Saamáka, Saramaccaans","","L","","Saramaccan [srm]","","Saramaccan","micro","","Saramaccan","","1","83","Saamáka"
"g232d6d9a7","","srn","Sranan Tongo","Sranan, Surinaams, Suriname Creole English, Surinamese","","L","","Sranan Tongo [srn]","","Sranan Tongo","micro","","Sranan Tongo","","1","83","Sranan Tongo"
"776d2ch349","","sro","Sardinian, Campidanese","Campidanese, Campidanese Sardinian, Campidese, Sardu, South Sardinian","","L","","Sardinian, Campidanese [sro]","","Campidanese Sardinian","micro","","Sardinian, Campidanese","","1","83",""
"392544cghf","","srp","Serbian","","","L","","Serbian [srp]","sr","Serbian","micro","SRB","Serbian","","1","91","српски, srpski"
"6eb23a655h","","srq","Sirionó","Mbia Chee, Mbya","","L","","Sirionó [srq]","","Sirionó","micro","","SirionO","","1","83",""
